[libx264 @ 0xaaab05600cf0] using cpu capabilities: ARMv8 NEON
[libx264 @ 0xaaab05600cf0] profile High, level 3.0
pts:50176 pts_time:3.92 dts:49152 dts_time:3.84 duration:0 duration_time:0 stream_index:0
pts:49664 pts_time:3.88 dts:49664 dts_time:3.88 duration:0 duration_time:0 stream_index:0
pts:50688 pts_time:3.96 dts:50176 dts_time:3.92 duration:0 duration_time:0 stream_index:0
pts:51712 pts_time:4.04 dts:50688 dts_time:3.96 duration:0 duration_time:0 stream_index:0
pts:52224 pts_time:4.08 dts:51200 dts_time:4 duration:0 duration_time:0 stream_index:0
pts:54272 pts_time:4.24 dts:51712 dts_time:4.04 duration:0 duration_time:0 stream_index:0
pts:53248 pts_time:4.16 dts:52224 dts_time:4.08 duration:0 duration_time:0 stream_index:0
pts:52736 pts_time:4.12 dts:52736 dts_time:4.12 duration:0 duration_time:0 stream_index:0
pts:53760 pts_time:4.2 dts:53248 dts_time:4.16 duration:0 duration_time:0 stream_index:0
pts:54784 pts_time:4.28 dts:53760 dts_time:4.2 duration:0 duration_time:0 stream_index:0
pts:55808 pts_time:4.36 dts:54272 dts_time:4.24 duration:0 duration_time:0 stream_index:0
pts:55296 pts_time:4.32 dts:54784 dts_time:4.28 duration:0 duration_time:0 stream_index:0
pts:56832 pts_time:4.44 dts:55296 dts_time:4.32 duration:0 duration_time:0 stream_index:0
pts:56320 pts_time:4.4 dts:55808 dts_time:4.36 duration:0 duration_time:0 stream_index:0
pts:57344 pts_time:4.48 dts:56320 dts_time:4.4 duration:0 duration_time:0 stream_index:0
pts:57856 pts_time:4.52 dts:56832 dts_time:4.44 duration:0 duration_time:0 stream_index:0
pts:59904 pts_time:4.68 dts:57344 dts_time:4.48 duration:0 duration_time:0 stream_index:0
pts:58880 pts_time:4.6 dts:57856 dts_time:4.52 duration:0 duration_time:0 stream_index:0
pts:58368 pts_time:4.56 dts:58368 dts_time:4.56 duration:0 duration_time:0 stream_index:0
pts:59392 pts_time:4.64 dts:58880 dts_time:4.6 duration:0 duration_time:0 stream_index:0
pts:60416 pts_time:4.72 dts:59392 dts_time:4.64 duration:0 duration_time:0 stream_index:0
pts:60928 pts_time:4.76 dts:59904 dts_time:4.68 duration:0 duration_time:0 stream_index:0
pts:61952 pts_time:4.84 dts:60416 dts_time:4.72 duration:0 duration_time:0 stream_index:0
pts:61440 pts_time:4.8 dts:60928 dts_time:4.76 duration:0 duration_time:0 stream_index:0
pts:62976 pts_time:4.92 dts:61440 dts_time:4.8 duration:0 duration_time:0 stream_index:0
