pts:74752 pts_time:1.69506 dts:74752 dts_time:1.69506 duration:1024 duration_time:0.02322 stream_index:1
pts:6656 pts_time:0.52 dts:5632 dts_time:0.44 duration:0 duration_time:0 stream_index:0
pts:75776 pts_time:1.71828 dts:75776 dts_time:1.71828 duration:1024 duration_time:0.02322 stream_index:1
pts:76800 pts_time:1.7415 dts:76800 dts_time:1.7415 duration:1024 duration_time:0.02322 stream_index:1
pts:7680 pts_time:0.6 dts:6144 dts_time:0.48 duration:0 duration_time:0 stream_index:0
pts:77824 pts_time:1.76472 dts:77824 dts_time:1.76472 duration:1024 duration_time:0.02322 stream_index:1
pts:78848 pts_time:1.78794 dts:78848 dts_time:1.78794 duration:1024 duration_time:0.02322 stream_index:1
pts:7168 pts_time:0.56 dts:6656 dts_time:0.52 duration:0 duration_time:0 stream_index:0
pts:79872 pts_time:1.81116 dts:79872 dts_time:1.81116 duration:1024 duration_time:0.02322 stream_index:1
pts:8192 pts_time:0.64 dts:7168 dts_time:0.56 duration:0 duration_time:0 stream_index:0
pts:80896 pts_time:1.83438 dts:80896 dts_time:1.83438 duration:1024 duration_time:0.02322 stream_index:1
pts:81920 pts_time:1.8576 dts:81920 dts_time:1.8576 duration:1024 duration_time:0.02322 stream_index:1
pts:8704 pts_time:0.68 dts:7680 dts_time:0.6 duration:0 duration_time:0 stream_index:0
pts:82944 pts_time:1.88082 dts:82944 dts_time:1.88082 duration:1024 duration_time:0.02322 stream_index:1
pts:83968 pts_time:1.90404 dts:83968 dts_time:1.90404 duration:1024 duration_time:0.02322 stream_index:1
pts:9728 pts_time:0.76 dts:8192 dts_time:0.64 duration:0 duration_time:0 stream_index:0
pts:84992 pts_time:1.92726 dts:84992 dts_time:1.92726 duration:1024 duration_time:0.02322 stream_index:1
pts:86016 pts_time:1.95048 dts:86016 dts_time:1.95048 duration:1024 duration_time:0.02322 stream_index:1
pts:9216 pts_time:0.72 dts:8704 dts_time:0.68 duration:0 duration_time:0 stream_index:0
pts:87040 pts_time:1.9737 dts:87040 dts_time:1.9737 duration:1024 duration_time:0.02322 stream_index:1
pts:10752 pts_time:0.84 dts:9216 dts_time:0.72 duration:0 duration_time:0 stream_index:0
pts:88064 pts_time:1.99692 dts:88064 dts_time:1.99692 duration:1024 duration_time:0.02322 stream_index:1
pts:89088 pts_time:2.02014 dts:89088 dts_time:2.02014 duration:1024 duration_time:0.02322 stream_index:1
pts:10240 pts_time:0.8 dts:9728 dts_time:0.76 duration:0 duration_time:0 stream_index:0
pts:90112 pts_time:2.04336 dts:90112 dts_time:2.04336 duration:1024 duration_time:0.02322 stream_index:1
pts:91136 pts_time:2.06658 dts:91136 dts_time:2.06658 duration:1024 duration_time:0.02322 stream_index:1
pts:11776 pts_time:0.92 dts:10240 dts_time:0.8 duration:0 duration_time:0 stream_index:0
pts:92160 pts_time:2.0898 dts:92160 dts_time:2.0898 duration:1024 duration_time:0.02322 stream_index:1
pts:93184 pts_time:2.11302 dts:93184 dts_time:2.11302 duration:1024 duration_time:0.02322 stream_index:1
pts:11264 pts_time:0.88 dts:10752 dts_time:0.84 duration:0 duration_time:0 stream_index:0
pts:94208 pts_time:2.13624 dts:94208 dts_time:2.13624 duration:1024 duration_time:0.02322 stream_index:1
pts:12288 pts_time:0.96 dts:11264 dts_time:0.88 duration:0 duration_time:0 stream_index:0
pts:95232 pts_time:2.15946 dts:95232 dts_time:2.15946 duration:1024 duration_time:0.02322 stream_index:1
pts:96256 pts_time:2.18268 dts:96256 dts_time:2.18268 duration:1024 duration_time:0.02322 stream_index:1
pts:12800 pts_time:1 dts:11776 dts_time:0.92 duration:0 duration_time:0 stream_index:0
pts:97280 pts_time:2.2059 dts:97280 dts_time:2.2059 duration:1024 duration_time:0.02322 stream_index:1
pts:98304 pts_time:2.22912 dts:98304 dts_time:2.22912 duration:1024 duration_time:0.02322 stream_index:1
pts:13824 pts_time:1.08 dts:12288 dts_time:0.96 duration:0 duration_time:0 stream_index:0
pts:99328 pts_time:2.25234 dts:99328 dts_time:2.25234 duration:1024 duration_time:0.02322 stream_index:1
pts:13312 pts_time:1.04 dts:12800 dts_time:1 duration:0 duration_time:0 stream_index:0
pts:100352 pts_time:2.27556 dts:100352 dts_time:2.27556 duration:1024 duration_time:0.02322 stream_index:1
pts:101376 pts_time:2.29878 dts:101376 dts_time:2.29878 duration:1024 duration_time:0.02322 stream_index:1
pts:14336 pts_time:1.12 dts:13312 dts_time:1.04 duration:0 duration_time:0 stream_index:0
pts:102400 pts_time:2.322 dts:102400 dts_time:2.322 duration:1024 duration_time:0.02322 stream_index:1
pts:103424 pts_time:2.34522 dts:103424 dts_time:2.34522 duration:1024 duration_time:0.02322 stream_index:1
pts:14848 pts_time:1.16 dts:13824 dts_time:1.08 duration:0 duration_time:0 stream_index:0
pts:104448 pts_time:2.36844 dts:104448 dts_time:2.36844 duration:1024 duration_time:0.02322 stream_index:1
pts:105472 pts_time:2.39166 dts:105472 dts_time:2.39166 duration:1024 duration_time:0.02322 stream_index:1
pts:15360 pts_time:1.2 dts:14336 dts_time:1.12 duration:0 duration_time:0 stream_index:0
pts:106496 pts_time:2.41488 dts:106496 dts_time:2.41488 duration:1024 duration_time:0.02322 stream_index:1
pts:15872 pts_time:1.24 dts:14848 dts_time:1.16 duration:0 duration_time:0 stream_index:0
