运行 java测试 案例 com.example.demo.FFmpegJNITest
sbc run -t -v /home/user/JAVA-TEST/java-rtf-test/ffmpeg/files:/tmp@/home/user/JAVA-TEST/java-rtf-test/rmi.sh:/opt/app/lib/logback-classic-1.2.3.jar@/home/user/JAVA-TEST/java-rtf-test/test-classes/com:/opt/app/test-classes/com -p docker.bplatform.demo/java_rtf_ft:2.1 docker.bplatform.demo/java_rtf_test_all:1.0  /opt/app/runTest com.example.demo.FFmpegJNITest encode_audio /tmp/03.pcm /tmp/04.aac
TEST_DIR=/opt/app
/usr/lib/jvm/java-11-openjdk-arm64/bin/java -classpath /opt/app/lib/*:/opt/app/classes:/opt/app/test-classes com.example.demo.FFmpegJNITest encode_audio /tmp/03.pcm /tmp/04.aac
音频编码
Output #0, adts, to '/tmp/04.aac':
    Stream #0:0: Audio: aac (LC), 44100 Hz, stereo, fltp, 64 kb/s
pts:126976 pts_time:2.87927 dts:126976 dts_time:2.87927 duration:1024 duration_time:0.02322 stream_index:0
pts:128000 pts_time:2.90249 dts:128000 dts_time:2.90249 duration:1024 duration_time:0.02322 stream_index:0
pts:129024 pts_time:2.92571 dts:129024 dts_time:2.92571 duration:1024 duration_time:0.02322 stream_index:0
pts:130048 pts_time:2.94893 dts:130048 dts_time:2.94893 duration:1024 duration_time:0.02322 stream_index:0
pts:131072 pts_time:2.97215 dts:131072 dts_time:2.97215 duration:1024 duration_time:0.02322 stream_index:0
pts:132096 pts_time:2.99537 dts:132096 dts_time:2.99537 duration:1024 duration_time:0.02322 stream_index:0
pts:133120 pts_time:3.01859 dts:133120 dts_time:3.01859 duration:1024 duration_time:0.02322 stream_index:0
pts:134144 pts_time:3.04181 dts:134144 dts_time:3.04181 duration:1024 duration_time:0.02322 stream_index:0
pts:135168 pts_time:3.06503 dts:135168 dts_time:3.06503 duration:1024 duration_time:0.02322 stream_index:0
pts:136192 pts_time:3.08825 dts:136192 dts_time:3.08825 duration:1024 duration_time:0.02322 stream_index:0
pts:137216 pts_time:3.11147 dts:137216 dts_time:3.11147 duration:1024 duration_time:0.02322 stream_index:0
pts:138240 pts_time:3.13469 dts:138240 dts_time:3.13469 duration:1024 duration_time:0.02322 stream_index:0
pts:139264 pts_time:3.15791 dts:139264 dts_time:3.15791 duration:1024 duration_time:0.02322 stream_index:0
