[libx264 @ 0xaaaac2024d00] using cpu capabilities: ARMv8 NEON
[libx264 @ 0xaaaac2024d00] profile High, level 3.0
Output #0, h264, to '04.h264':
    Stream #0:0: Video: h264, yuv420p, 640x480, q=2-31, 400 kb/s, 25 tbn
视频编码
pts:149 pts_time:5.96 dts:147 dts_time:5.88 duration:0 duration_time:0 stream_index:0
pts:150 pts_time:6 dts:148 dts_time:5.92 duration:0 duration_time:0 stream_index:0
pts:151 pts_time:6.04 dts:149 dts_time:5.96 duration:0 duration_time:0 stream_index:0
pts:153 pts_time:6.12 dts:150 dts_time:6 duration:0 duration_time:0 stream_index:0
pts:152 pts_time:6.08 dts:151 dts_time:6.04 duration:0 duration_time:0 stream_index:0
pts:154 pts_time:6.16 dts:152 dts_time:6.08 duration:0 duration_time:0 stream_index:0
pts:157 pts_time:6.28 dts:153 dts_time:6.12 duration:0 duration_time:0 stream_index:0
pts:155 pts_time:6.2 dts:154 dts_time:6.16 duration:0 duration_time:0 stream_index:0
pts:156 pts_time:6.24 dts:155 dts_time:6.2 duration:0 duration_time:0 stream_index:0
pts:158 pts_time:6.32 dts:156 dts_time:6.24 duration:0 duration_time:0 stream_index:0
pts:160 pts_time:6.4 dts:157 dts_time:6.28 duration:0 duration_time:0 stream_index:0
pts:159 pts_time:6.36 dts:158 dts_time:6.32 duration:0 duration_time:0 stream_index:0
pts:161 pts_time:6.44 dts:159 dts_time:6.36 duration:0 duration_time:0 stream_index:0
pts:162 pts_time:6.48 dts:160 dts_time:6.4 duration:0 duration_time:0 stream_index:0
pts:163 pts_time:6.52 dts:161 dts_time:6.44 duration:0 duration_time:0 stream_index:0
pts:164 pts_time:6.56 dts:162 dts_time:6.48 duration:0 duration_time:0 stream_index:0
pts:165 pts_time:6.6 dts:163 dts_time:6.52 duration:0 duration_time:0 stream_index:0
pts:166 pts_time:6.64 dts:164 dts_time:6.56 duration:0 duration_time:0 stream_index:0
pts:169 pts_time:6.76 dts:165 dts_time:6.6 duration:0 duration_time:0 stream_index:0
pts:167 pts_time:6.68 dts:166 dts_time:6.64 duration:0 duration_time:0 stream_index:0
pts:168 pts_time:6.72 dts:167 dts_time:6.68 duration:0 duration_time:0 stream_index:0
pts:171 pts_time:6.84 dts:168 dts_time:6.72 duration:0 duration_time:0 stream_index:0
pts:170 pts_time:6.8 dts:169 dts_time:6.76 duration:0 duration_time:0 stream_index:0
pts:172 pts_time:6.88 dts:170 dts_time:6.8 duration:0 duration_time:0 stream_index:0
pts:173 pts_time:6.92 dts:171 dts_time:6.84 duration:0 duration_time:0 stream_index:0
pts:174 pts_time:6.96 dts:172 dts_time:6.88 duration:0 duration_time:0 stream_index:0
pts:175 pts_time:7 dts:173 dts_time:6.92 duration:0 duration_time:0 stream_index:0
pts:176 pts_time:7.04 dts:174 dts_time:6.96 duration:0 duration_time:0 stream_index:0
pts:178 pts_time:7.12 dts:175 dts_time:7 duration:0 duration_time:0 stream_index:0
pts:177 pts_time:7.08 dts:176 dts_time:7.04 duration:0 duration_time:0 stream_index:0
pts:181 pts_time:7.24 dts:177 dts_time:7.08 duration:0 duration_time:0 stream_index:0
pts:179 pts_time:7.16 dts:178 dts_time:7.12 duration:0 duration_time:0 stream_index:0
pts:180 pts_time:7.2 dts:179 dts_time:7.16 duration:0 duration_time:0 stream_index:0
pts:182 pts_time:7.28 dts:180 dts_time:7.2 duration:0 duration_time:0 stream_index:0
pts:183 pts_time:7.32 dts:181 dts_time:7.24 duration:0 duration_time:0 stream_index:0
pts:184 pts_time:7.36 dts:182 dts_time:7.28 duration:0 duration_time:0 stream_index:0
pts:185 pts_time:7.4 dts:183 dts_time:7.32 duration:0 duration_time:0 stream_index:0
pts:186 pts_time:7.44 dts:184 dts_time:7.36 duration:0 duration_time:0 stream_index:0
pts:187 pts_time:7.48 dts:185 dts_time:7.4 duration:0 duration_time:0 stream_index:0
pts:188 pts_time:7.52 dts:186 dts_time:7.44 duration:0 duration_time:0 stream_index:0
pts:189 pts_time:7.56 dts:187 dts_time:7.48 duration:0 duration_time:0 stream_index:0
pts:190 pts_time:7.6 dts:188 dts_time:7.52 duration:0 duration_time:0 stream_index:0
pts:193 pts_time:7.72 dts:189 dts_time:7.56 duration:0 duration_time:0 stream_index:0
pts:191 pts_time:7.64 dts:190 dts_time:7.6 duration:0 duration_time:0 stream_index:0
pts:192 pts_time:7.68 dts:191 dts_time:7.64 duration:0 duration_time:0 stream_index:0
pts:195 pts_time:7.8 dts:192 dts_time:7.68 duration:0 duration_time:0 stream_index:0
pts:194 pts_time:7.76 dts:193 dts_time:7.72 duration:0 duration_time:0 stream_index:0
pts:196 pts_time:7.84 dts:194 dts_time:7.76 duration:0 duration_time:0 stream_index:0
pts:197 pts_time:7.88 dts:195 dts_time:7.8 duration:0 duration_time:0 stream_index:0
pts:198 pts_time:7.92 dts:196 dts_time:7.84 duration:0 duration_time:0 stream_index:0
pts:199 pts_time:7.96 dts:197 dts_time:7.88 duration:0 duration_time:0 stream_index:0
pts:200 pts_time:8 dts:198 dts_time:7.92 duration:0 duration_time:0 stream_index:0
pts:201 pts_time:8.04 dts:199 dts_time:7.96 duration:0 duration_time:0 stream_index:0
pts:202 pts_time:8.08 dts:200 dts_time:8 duration:0 duration_time:0 stream_index:0
pts:203 pts_time:8.12 dts:201 dts_time:8.04 duration:0 duration_time:0 stream_index:0
pts:205 pts_time:8.2 dts:202 dts_time:8.08 duration:0 duration_time:0 stream_index:0
pts:204 pts_time:8.16 dts:203 dts_time:8.12 duration:0 duration_time:0 stream_index:0
pts:206 pts_time:8.24 dts:204 dts_time:8.16 duration:0 duration_time:0 stream_index:0
pts:208 pts_time:8.32 dts:205 dts_time:8.2 duration:0 duration_time:0 stream_index:0
pts:207 pts_time:8.28 dts:206 dts_time:8.24 duration:0 duration_time:0 stream_index:0
pts:209 pts_time:8.36 dts:207 dts_time:8.28 duration:0 duration_time:0 stream_index:0
pts:210 pts_time:8.4 dts:208 dts_time:8.32 duration:0 duration_time:0 stream_index:0
pts:211 pts_time:8.44 dts:209 dts_time:8.36 duration:0 duration_time:0 stream_index:0
pts:212 pts_time:8.48 dts:210 dts_time:8.4 duration:0 duration_time:0 stream_index:0
pts:214 pts_time:8.56 dts:211 dts_time:8.44 duration:0 duration_time:0 stream_index:0
pts:213 pts_time:8.52 dts:212 dts_time:8.48 duration:0 duration_time:0 stream_index:0
